SKU,Descripcion,Stock
1-8011-1,"Etiqueta en rollo rdonda c/holograma ""b"" (brackets)",153000
1-8079,Stick Reyes CEO,86
1-8087,Etiqueta en rollo 98x47 c/adhesivo p/brackets  I line (BOPP perlado),49000
1-8088,Etiqueta en rollo 98x47 c/adhesivo p/brackets Borgatta (BOPP perlado),23000
1-8094,Etiqueta en rollo 99x47 c/adhesivo p/brackets  Glint  (BOPP perlado),66800
1-8102,Etiqueta en rollo 98x47 c/adhesivo p/brackets B.B. amarilla (BOPP perlado),2000
1-8108,Etiqueta en rollo 119x90 Fit Jig (1 al paso),0
